movie_name,month,year,ratings,user_vote,genres,country
A.I. Artificial Intelligence,6.0,2001.0,7.2,323000,,United States United Kingdom
A.X.L.,8.0,2018.0,,,,
ATL,3.0,2006.0,6.1,12000,,
AVP: Alien Vs. Predator,9.0,2004.0,,,,
Abandon,10.0,2002.0,4.8,10000,,United States Germany Canada
Abduction,9.0,2011.0,5.1,83000,,
Abominable,9.0,2019.0,7.0,42000,,
About Last Night,2.0,2014.0,6.0,25000,,
About Schmidt,12.0,2002.0,7.2,134000,,
About Time,9.0,2013.0,7.8,387000,Comedy Drama Fantasy Romance Sci-Fi,
About a Boy,5.0,2002.0,7.1,192000,,
Abraham Lincoln: Vampire Hunter,6.0,2012.0,5.9,162000,,
Accepted,8.0,2006.0,6.4,140000,,
Acrimony,3.0,2018.0,5.9,10000,,
Across the Universe,9.0,2007.0,7.3,114000,,
Act of Valor,2.0,2012.0,6.4,72000,,
Action Point,6.0,2018.0,5.1,12000,,
Ad Astra,9.0,2019.0,6.5,261000,,
Adaptation.,12.0,2002.0,7.7,203000,,United States
Addicted,10.0,2014.0,5.0,12000,,
Admission,3.0,2013.0,5.7,36000,,
Adrift,6.0,2018.0,6.6,62000,,
Adventureland,4.0,2009.0,6.8,169000,,
Aeon Flux,12.0,2005.0,,,,
After,4.0,2019.0,5.3,66000,,
After Earth,5.0,2013.0,4.8,209000,,
After the Sunset,11.0,2004.0,6.2,50000,,
Against the Ropes,2.0,2004.0,5.3,74000,,
Agent Cody Banks,3.0,2003.0,5.1,37000,,
Agent Cody Banks 2: Destination London,3.0,2004.0,4.5,16000,,
Agora,5.0,2010.0,7.1,73000,,
Akeelah and the Bee,4.0,2006.0,7.4,22000,,
Aladdin,5.0,2019.0,6.9,291000,,
Albert Nobbs,1.0,2012.0,6.7,26000,,
Alex & Emma,6.0,2003.0,5.5,14000,,
Alex Cross,10.0,2012.0,5.2,35000,,
Alexander,11.0,2004.0,5.6,177000,,
Alexander and the Terrible Horrible No Good Very Bad Day,10.0,2014.0,6.2,47000,,United States
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",10.0,2014.0,6.2,47000,Comedy Drama Family Fantasy,
Alfie,11.0,2004.0,6.2,55000,,
Ali,12.0,2001.0,6.7,106000,,
Alice Through the Looking Glass,5.0,2016.0,6.2,123000,,
Alice in Wonderland,3.0,2010.0,6.4,442000,,
Alien,10.0,2019.0,8.5,953000,,United Kingdom United States
Alien vs. Predator,8.0,2004.0,5.7,213000,,Czech Republic United Kingdom Germany Canada United States
Alien: Covenant,5.0,2017.0,6.4,304000,,
Aliens in the Attic,7.0,2009.0,5.4,24000,,
Aliens vs. Predator - Requiem,12.0,2007.0,,,,
Alita: Battle Angel,2.0,2019.0,7.3,294000,,
All About Steve,9.0,2009.0,4.8,44000,,
All About the Benjamins,3.0,2002.0,5.8,16000,,
All Eyez on Me,6.0,2017.0,5.9,25000,,
All I See Is You,10.0,2017.0,5.4,13000,,United States Thailand
All Saints,8.0,2017.0,6.2,19000,,
All is Lost,11.0,2013.0,,,,
All or Nothing,10.0,2002.0,7.5,11000,,United Kingdom France
All the King's Men,9.0,2006.0,6.1,26000,,Germany United States
All the Money in the World,12.0,2017.0,6.8,91000,,
All the Pretty Horses,12.0,2000.0,5.8,16000,,
All the Queen's Men,10.0,2002.0,4.8,27000,,United States Austria Germany
Allied,11.0,2016.0,7.1,170000,,
Almost Christmas,11.0,2016.0,6.1,79000,,
Almost Famous,9.0,2000.0,7.9,294000,,
Aloha,5.0,2015.0,5.4,71000,,
Alone Yet Not Alone,9.0,2013.0,4.7,977,,United States
Alone in the Dark,1.0,2005.0,2.4,47000,,Canada Germany United States
Along Came Polly,1.0,2004.0,6.0,144000,,
Along Came a Spider,4.0,2001.0,6.4,96000,,
Alpha,8.0,2018.0,6.6,67000,,
Alpha and Omega,9.0,2010.0,5.1,15000,,
