movie_name,month,year,sequel
Bedtime Stories,12,2008,0
Bee Movie,11,2007,0
Bee Season,11,2005,0
Beerfest,8,2006,0
Before I Fall,3,2017,0
Before I Go to Sleep,10,2014,0
Before Midnight,5,2013,0
Before Sunset,7,2004,0
Behind Enemy Lines,11,2001,0
Being Julia,10,2004,0
Ben-Hur,8,2016,0
Beowulf,11,2007,0
Best in Show,9,2000,0
Beverly Hills Chihuahua,10,2008,0
Bewitched,6,2005,0
Beyond Borders,10,2003,0
Beyond the Lights,11,2014,0
Beyond the Sea,12,2004,0
Big Eyes,12,2014,0
Big Fat Liar,2,2002,0
Big Fish,12,2003,0
Big Hero 6,11,2014,0
Big Miracle,2,2012,0
Big Momma's House,6,2000,0
Big Momma's House 2,1,2006,0
Big Mommas: Like Father Like Son,2,2011,0
"Big Mommas: Like Father, Like Son",2,2011,1
Big Trouble,4,2002,0
Bigger Than the Sky,2,2005,0
Biker Boyz,1,2003,0
Billy Elliot,10,2000,0
Birdman or (The Unexpected Virtue of Ignorance),10,2014,0
Birth,10,2004,0
BlacKkKlansman,8,2018,0
Black Christmas,12,2006,0
Black Hawk Down,12,2001,0
Black Knight,11,2001,0
Black Mass,9,2015,0
Black Nativity,11,2013,0
Black Panther,2,2018,0
Black Snake Moan,3,2007,0
Black Swan,12,2010,0
Black and Blue,10,2019,0
Blackhat,1,2015,0
Blade II,3,2002,0
Blade Runner 2049,10,2017,1
Blade: Trinity,12,2004,0
Blades of Glory,3,2007,0
Blair Witch,9,2016,0
Bleed for This,12,2016,0
Blended,5,2014,0
Bless the Child,8,2000,0
Blinded by the Light,8,2019,0
Blindness,10,2008,0
Blockers,4,2018,0
Blood Diamond,12,2006,0
Blood Done Sign My Name,2,2010,0
Blood Work,8,2002,0
Blood and Chocolate,1,2007,0
Blow,4,2001,0
Blue Beetle,8,2023,0
Blue Crush,8,2002,0
Blue Jasmine,7,2013,0
Blue Valentine,12,2010,0
Boat Trip,3,2003,0
Bobby,11,2006,0
Bobby Jones: Stroke of Genius,4,2004,0
Body of Lies,10,2008,0
Bohemian Rhapsody,11,2018,0
Boiler Room,2,2000,0
Bolt,11,2008,0
Bombshell,12,2019,0
Bon Voyage,10,2003,0
Bones,10,2001,0
Boo 2! A Madea Halloween,10,2017,1
Boo! A Madea Halloween,10,2016,0
Boogeyman,2,2005,0
Book Club,5,2018,0
Book of Shadows: Blair Witch 2,10,2000,0
Booksmart,5,2019,0
Borat,11,2006,0
Bounce,11,2000,0
Bowling for Columbine,10,2002,0
Boy Erased,11,2018,0
Boyhood,7,2014,0
Boys and Girls,6,2000,0
Brave,6,2012,0
Breakin' All the Rules,5,2004,0
Breaking In,5,2018,0
Breakthrough,4,2019,0
Brick Mansions,4,2014,1
Bride & Prejudice,2,2005,0
Bride Wars,1,2009,0
Bridesmaids,5,2011,0
Bridge of Spies,10,2015,0
Bridge to Terabithia,2,2007,0
Bridget Jones's Baby,9,2016,1
Bridget Jones's Diary,4,2001,0
Bridget Jones: The Edge of Reason,11,2004,0
Bright Star,9,2009,0
Brightburn,5,2019,0
Bringing Down the House,3,2003,0
Brokeback Mountain,12,2005,0
Broken City,1,2013,0
Broken Flowers,8,2005,0
Brooklyn,11,2015,0
Brooklyn Rules,5,2007,0
Brother Bear,10,2003,0
Brothers,12,2009,0
Brown Sugar,10,2002,0
Bruce Almighty,5,2003,0
Brüno,7,2009,0
Bubble,1,2006,0
Bubble Boy,8,2001,0
Bucky Larson: Born to Be a Star,9,2011,0
Buffalo Soldiers,7,2003,0
Bulletproof Monk,4,2003,0
Bumblebee,12,2018,0
Buried,9,2010,0
Burlesque,11,2010,0
Burn After Reading,9,2008,0
Burnt,10,2015,0
CHIPS,3,2017,0
Ca$h,3,2010,0
Cabrini,3,2024,0
Caché,12,2005,0
Cadillac Records,12,2008,0
Café Society,5,2016,0
Calendar Girls,12,2003,0
Call Me by Your Name,11,2017,0
Can You Ever Forgive Me?,10,2018,0
Capitalism: A Love Story,9,2009,0
Capote,9,2005,0
Captain America: Civil War,5,2016,1
Captain America: The First Avenger,7,2011,0
Captain America: The Winter Soldier,4,2014,0
Captain Corelli's Mandolin,8,2001,0
Captain Fantastic,7,2016,0
Captain Marvel,3,2019,0
Captain Phillips,10,2013,0
Captain Underpants: The First Epic Movie,6,2017,0
Captive State,3,2019,0
Carnage,12,2011,0
Carol,11,2015,0
Carrie,10,2013,0
Cars,6,2006,0
Cars 2,6,2011,1
Cars 3,6,2017,1
Casa de mi Padre,3,2012,0
Casino Jack,12,2010,0
Casino Royale,11,2006,0
Cast Away,12,2000,0
Catch Me If You Can,12,2002,0
Catch That Kid,2,2004,0
Catch a Fire,10,2006,0
Cats,12,2019,0
Cats & Dogs,7,2001,0
Cats & Dogs: The Revenge of Kitty Galore,7,2010,0
Catwoman,7,2004,0
Cedar Rapids,2,2011,0
Cellular,9,2004,0
Center Stage,5,2000,0
Central Intelligence,6,2016,0
Centurion,8,2010,0
Chain Letter,10,2010,0
Changeling,10,2008,0
Changing Lanes,4,2002,0
Chappie,3,2015,0
Charlie St. Cloud,7,2010,0
Charlie Wilson's War,12,2007,0
Charlie and the Chocolate Factory,7,2005,0
Charlie's Angels,11,2000,0
Charlie's Angels: Full Throttle,6,2003,0
Charlotte's Web,12,2006,0
Chasing Liberty,1,2004,0
Chasing Mavericks,10,2012,0
Chasing Papi,4,2003,0
Cheaper by the Dozen,12,2003,0
Cheaper by the Dozen 2,12,2005,0
Chernobyl Diaries,5,2012,0
Chicago,12,2002,0
Chicken Little,11,2005,0
Chicken Run,6,2000,0
Child 44,4,2015,0
Child's Play,6,2019,0
Children of Men,12,2006,0
Chocolat,12,2000,0
Christmas with the Kranks,11,2004,0
Christopher Robin,8,2018,0
Chronicle,2,2012,0
Church Ball,3,2006,0
Churchill,6,2017,0
Ch�ri,6,2009,0
Cinderella,3,2015,0
Cinderella Man,6,2005,0
Circumstance,8,2011,0
Cirque du Freak: The Vampire's Assistant,10,2009,0
Cirque du Soleil: Worlds Away,12,2012,0
City by the Sea,9,2002,0
City of Ember,10,2008,0
City of Life and Death,5,2011,0
Civil War,4,2024,0
Clash of the Titans,4,2010,0
Clerks II,7,2006,0
Click,6,2006,0
Clockstoppers,3,2002,0
Closer,12,2004,0
Cloud Atlas,10,2012,0
Cloudy with a Chance of Meatballs,9,2009,0
Cloudy with a Chance of Meatballs 2,9,2013,1
Cloverfield,1,2008,0
Club Dread,2,2004,0
Coach Carter,1,2005,0
Coco,11,2017,0
Coco Before Chanel,9,2009,0
Code Name: The Cleaner,1,2007,0
Cold Mountain,12,2003,0
Cold Pursuit,2,2019,0
Collateral,8,2004,0
Collateral Beauty,12,2016,0
Collateral Damage,2,2002,0
College,8,2008,0
Colombiana,8,2011,0
Compadres,4,2016,0
Conan the Barbarian,8,2011,0
Concussion,10,2013,0
Confessions of a Dangerous Mind,12,2002,0
Confessions of a Teenage Drama Queen,2,2004,0
Confidence,4,2003,0
Connie and Carla,4,2004,0
Constantine,2,2005,0
Contagion,9,2011,0
Contraband,1,2012,0
Conviction,10,2010,0
Cop Out,2,2010,0
Copying Beethoven,11,2006,0
Coraline,2,2009,0
Corky Romano,10,2001,0
Corpse Bride,9,2005,0
Countdown,10,2019,0
Country Strong,12,2010,0
Couples Retreat,10,2009,0
Courageous,9,2011,0
Cowboys & Aliens,7,2011,0
Coyote Ugly,12,2000,0
Cradle 2 the Grave,2,2003,0
Crank,9,2006,0
Crash,5,2005,0
Crawl,7,2019,0
Crazy Heart,12,2009,0
Crazy Rich Asians,8,2018,0
Crazy Stupid Love.,7,2011,0
Crazy as Hell,9,2002,0
Crazy/Beautiful,6,2001,0
Creed,11,2015,0
Creed II,11,2018,1
Creed III,3,2023,1
Criminal,4,2016,0
Crimson Peak,10,2015,0
Crocodile Dundee in Los Angeles,4,2001,0
Crossover,9,2006,0
Crossroads,2,2002,0
Crouching Tiger Hidden Dragon,2,2023,0
Crush,4,2002,0
Cry Wolf,9,2005,0
Curious George,2,2006,0
Cursed,2,2005,0
Cyrus,6,2010,0
Daddy Day Camp,8,2007,0
Daddy Day Care,5,2003,0
Daddy's Home 2,11,2017,1
Dahmer,6,2002,0
Dallas Buyers Club,11,2013,0
Dance Flick,5,2009,0
Dancer in the Dark,9,2000,0
Danny Collins,3,2015,0
Daredevil,2,2003,0
Dark Places,8,2015,0
Dark Shadows,5,2012,0
Dark Skies,2,2013,0
Dark Water,7,2005,0
Darkest Hour,11,2017,0
Darkness Falls,1,2003,0
Date Movie,2,2006,0
Date Night,4,2010,0
Dawn of the Dead,3,2004,0
Dawn of the Planet of the Apes,7,2014,1
De-Lovely,7,2004,0
Dead Man Down,3,2013,0
Dead Silence,3,2007,0
Deadpool,2,2016,0
Deadpool 2,5,2018,1
Dear John,2,2010,0
Dear White People,10,2014,0
Death Race,8,2008,0
Death Sentence,8,2007,0
Death Wish,3,2018,0
Death at a Funeral,4,2010,0
Death of a Nation,8,2018,0
Death of a President,10,2006,0
Death to Smoochy,3,2002,0
Deception,4,2008,0
Deck the Halls,11,2006,0
Deepwater Horizon,9,2016,0
Defiance,12,2008,0
"Definitely, Maybe",2,2008,0
Deja Vu,11,2006,0
Deliver Us from Evil,10,2006,0
Delivery Man,11,2013,0
Den of Thieves,1,2018,0
Denial,9,2016,0
Derailed,11,2005,0
Despicable Me,7,2010,0
Despicable Me 2,7,2013,1
Despicable Me 3,6,2017,1
Destroyer,12,2018,0
Detroit,7,2017,0
Deuce Bigalow: European Gigolo,8,2005,0
Deuces Wild,5,2002,0
Devil,9,2010,0
Devil's Due,1,2014,0
Diary of a Mad Black Woman,2,2005,0
Diary of a Wimpy Kid,3,2010,0
Diary of a Wimpy Kid: Dog Days,8,2012,0
Diary of a Wimpy Kid: Rodrick Rules,3,2011,0
Diary of a Wimpy Kid: The Long Haul,5,2017,0
Dickie Roberts: Former Child Star,9,2003,0
Did You Hear About the Morgans?,12,2009,0
Die Another Day,11,2002,1
Digimon: The Movie,10,2000,0
Dinner for Schmucks,7,2010,0
Dinosaur,5,2000,0
Dirty,1,2006,0
Dirty Dancing: Havana Nights,2,2004,0
Dirty Grandpa,1,2016,0
Disaster Movie,8,2008,0
District 9,8,2009,0
Disturbia,4,2007,0
Divergent,3,2014,0
Divine Secrets of the Ya-Ya Sisterhood,6,2002,0
Django Unchained,12,2012,0
Do You Believe?,3,2015,0
Doctor Sleep,10,2019,1
Doctor Strange,11,2016,0
Dodgeball: A True Underdog Story,6,2004,0
Dog Days,8,2018,0
Dolphin Tale,9,2011,0
Dolphin Tale 2,9,2014,1
Domestic Disturbance,11,2001,0
Domino,10,2005,0
Don Jon,9,2013,0
Don't Be Afraid of the Dark,8,2011,0
Don't Breathe,8,2016,0
Don't Let Go,8,2019,0
Don't Say a Word,9,2001,0
Doogal,2,2006,0
Doom,10,2005,0
Doomsday,3,2008,0
Dope,6,2015,0
Dora and the Lost City of Gold,8,2019,0
Double Take,1,2001,0
Doubt,12,2008,0
Down to Earth,2,2001,0
Downsizing,12,2017,0
Downton Abbey,9,2019,0
Dr. Dolittle 2,6,2001,0
Dracula 2000,12,2000,0
Dracula Untold,10,2014,0
Draft Day,4,2014,0
Drag Me to Hell,5,2009,0
Dragon Wars: D-War,9,2007,0
Dragonball Evolution,4,2009,0
Dragonfly,2,2002,0
Dream House,9,2011,0
Dreamcatcher,3,2003,0
Dreamer,10,2005,0
Dreamgirls,12,2006,0
Dredd,9,2012,0
Drillbit Taylor,3,2008,0
Drive,9,2011,0
Drive Angry,2,2011,0
Driven,4,2001,0
Drowning Mona,3,2000,0
Drumline,12,2002,0
Dude Where's My Car?,12,2000,0
"Dude, Where's My Car?",12,2000,0
Due Date,11,2010,0
Duets,9,2000,0
Dum Maaro Dum,4,2011,0
Dumb Money,9,2023,0
Dumb and Dumber To,11,2014,1
Dumb and Dumberer: When Harry Met Lloyd,6,2003,0
Dumbo,3,2019,0
Dune: Part Two,2,2024,1
Dungeons & Dragons,12,2000,0
Dungeons & Dragons: Honor Among Thieves,3,2023,0
Dunkirk,12,2017,0
Duplex,9,2003,0
Duplicity,3,2009,0
Dylan Dog: Dead of Night,4,2011,0
Eagle Eye,9,2008,0
Early Man,2,2018,0
Earth to Echo,7,2014,0
Eastern Promises,9,2007,0
Easy A,9,2010,0
Eat Pray Love,8,2010,0
Eddie the Eagle,2,2016,0
Edge of Darkness,1,2010,0
Edge of Tomorrow,6,2014,0
Eight Below,2,2006,0
Eight Legged Freaks,7,2002,0
Eighth Grade,7,2018,0
Elektra,1,2005,0
Elemental,6,2023,0
Elephant,10,2003,0
Elf,11,2003,0
Elizabeth: The Golden Age,10,2007,0
Elizabethtown,10,2005,0
Ella Enchanted,4,2004,0
Elle,11,2016,0
Elysium,8,2013,0
Empire,12,2002,0
Employee of the Month,10,2006,0
Enchanted,11,2007,0
End of Watch,9,2012,0
End of the Spear,1,2006,0
Ender's Game,11,2013,0
Endless Love,2,2014,0
Enemy at the Gates,3,2001,0
Enough,5,2002,0
Enough Said,9,2013,0
Entourage,6,2015,0
Envy,4,2004,0
Epic,5,2013,0
Epic Movie,1,2007,0
Eragon,12,2006,0
Erin Brockovich,3,2000,0
Escape Plan,10,2013,0
Escape Room,1,2019,0
Eternal Sunshine of the Spotless Mind,3,2004,0
EuroTrip,2,2004,0
Evan Almighty,6,2007,0
Evening,6,2007,0
Everest,9,2015,0
Everybody's Fine,12,2009,0
Everything Everything,5,2017,0
"Everything, Everything",5,2017,0
Evil Dead,4,2013,1
Evolution,6,2001,0
Exit Wounds,3,2001,0
Exodus: Gods and Kings,12,2014,0
Exorcist: The Beginning,8,2004,0
Extract,9,2009,0
Extraordinary Measures,1,2010,0
Extreme Ops,11,2002,0
Facing the Giants,9,2006,0
Fahrenheit 11/9,9,2018,0
Fahrenheit 9/11,6,2004,0
Failure to Launch,3,2006,0
Fair Game,11,2010,0
Fame,9,2009,0
Fantastic Beasts and Where to Find Them,11,2016,0
Fantastic Beasts: The Crimes of Grindelwald,11,2018,1
Fantastic Four,8,2015,0
Fantastic Four: Rise of the Silver Surfer,6,2007,1
Fantastic Mr. Fox,11,2009,0
Far from Heaven,11,2002,0
Far from the Madding Crowd,5,2015,0
Fast & Furious,4,2009,0
Fast & Furious 6,5,2013,0
Fast & Furious Presents: Hobbs & Shaw,8,2019,0
Fast Five,4,2011,0
Fast X,5,2023,1
Faster,11,2010,0
Fat Albert,12,2004,0
Fat Kid Rules the World,10,2012,0
Father Figures,12,2017,0
Feardotcom,8,2002,0
Fences,12,2016,0
Ferdinand,12,2017,0
Ferrari,12,2023,0
Fever Pitch,4,2005,0
Fifty Shades Darker,2,2017,1
Fifty Shades Freed,2,2018,1
Fifty Shades of Black,1,2016,0
Fifty Shades of Grey,2,2015,0
Fighting,4,2009,0
Fighting with My Family,2,2019,0
Final Destination,3,2000,0
Final Destination 2,1,2003,0
Final Destination 3,2,2006,0
Final Destination 5,8,2011,0
Final Fantasy: The Spirits Within,7,2001,0
Find Me Guilty,3,2006,0
Finding Dory,6,2016,1
Finding Forrester,12,2000,0
Finding Neverland,11,2004,0
Finding Your Feet,3,2018,0
Fired Up!,2,2009,0
Fireproof,9,2008,0
Firewall,2,2006,0
First Daughter,9,2004,0
First Man,10,2018,0
Fist Fight,2,2017,0
Five Feet Apart,3,2019,0
Flags of Our Fathers,10,2006,0
Flatliners,9,2017,0
Flicka,10,2006,0
Flight,11,2012,0
Flight of the Phoenix,12,2004,0
Flightplan,9,2005,0
Flipped,8,2010,0
Florence Foster Jenkins,8,2016,0
Flushed Away,11,2006,0
Flyboys,9,2006,0
Focus,10,2001,0
Fool's Gold,2,2008,0
Footloose,10,2011,0
For Colored Girls,11,2010,0
For Greater Glory: The True Story of Cristiada,4,2012,0
For Your Consideration,11,2006,0
Forever My Girl,1,2018,0
Forgetting Sarah Marshall,4,2008,0
Forty Shades of Blue,9,2005,0
Four Brothers,8,2005,0
Four Christmases,11,2008,0
Four Lions,11,2010,0
Foxcatcher,11,2014,0
Frailty,4,2002,0
Frankenweenie,10,2012,0
Freakonomics,10,2010,0
Freaky Friday,8,2003,0
Freddy Got Fingered,4,2001,0
Freddy vs. Jason,8,2003,0
Free Birds,11,2013,0
Free State of Jones,6,2016,0
Freedom Writers,1,2007,0
Frequency,4,2000,0
Frida,10,2002,0
Friday After Next,11,2002,0
Friday Night Lights,10,2004,0
Friday the 13th,2,2009,0
Friends with Benefits,7,2011,0
Friends with Money,4,2006,0
Fright Night,8,2011,0
From Hell,10,2001,0
From Justin to Kelly,6,2003,0
From Paris with Love,2,2010,0
Frost/Nixon,12,2008,0
Frozen,2,2010,0
Frozen II,11,2019,1
Frozen River,8,2008,0
Fruitvale Station,7,2013,0
Full Frontal,8,2002,0
Fun Size,10,2012,0
Fun with Dick and Jane,12,2005,0
Funny People,7,2009,0
Furious 7,4,2015,0
Furry Vengeance,4,2010,0
Fury,10,2014,0
G-Force,7,2009,0
G.I. Joe: Retaliation,3,2013,0
G.I. Joe: The Rise of Cobra,8,2009,0
Game Night,2,2018,0
Gamer,9,2009,0
Gangs of New York,12,2002,0
Gangster Squad,1,2013,0
Garden State,7,2004,0
Garfield: A Tail of Two Kitties,6,2006,0
Garfield: The Movie,6,2004,0
Gemini Man,10,2019,0
Genius,6,2016,0
Gentlemen Broncos,10,2009,0
Georgia Rule,5,2007,0
Geostorm,10,2017,0
Get Carter,10,2000,0
Get Hard,3,2015,0
Get Him to the Greek,6,2010,0
Get Low,7,2010,0
Get Out,2,2017,0
Get Over It,3,2001,0
Get Rich or Die Tryin',11,2005,0
Get Smart,6,2008,0
Get on Up,8,2014,0
Getaway,8,2013,0
Ghost Rider,2,2007,0
Ghost Ship,10,2002,0
Ghost Town,9,2008,0
Ghost World,7,2001,0
Ghost in the Shell,3,2017,0
Ghostbusters: Frozen Empire,3,2024,1
Ghosts of Mars,8,2001,0
Gifted,4,2017,0
Gigli,8,2003,0
Girl with a Pearl Earring,12,2003,0
Girls Trip,7,2017,0
Gladiator,5,2000,0
Glass,1,2019,1
Glee: The 3D Concert Movie,8,2011,0
Glitter,9,2001,0
Glory Road,1,2006,0
God's Not Dead,3,2014,0
Gods and Generals,2,2003,0
Gods of Egypt,2,2016,0
Godsend,4,2004,0
Godzilla,4,2014,0
Godzilla Minus One,11,2023,0
Godzilla x Kong: The New Empire,3,2024,1
Godzilla: King of the Monsters,5,2019,0
Going in Style,4,2017,0
Going the Distance,9,2010,0
Gone,2,2012,0
Gone Baby Gone,10,2007,0
Gone Girl,10,2014,0
Gone in 60 Seconds,6,2000,0
Good Boy,10,2003,0
Good Boys,8,2019,0
