movie_name,month,year,budget,runtime,genres,mpaa,screens,opening_week,domestic_box_office,international_box_office,worldwide_box_office,country
Roar,4,2015,None,95,Adventure Comedy Thriller,None,19,15064,110048,None,110048,
La Sapienza,3,2015,None,101,Drama,None,6,None,135392,None,135392,
The Ark of Mr Chow,6,2015,None,106,Comedy,None,12,22583,54075,7840000,7894075,
The Martian,10,2015,108000000,144,Adventure Drama Sci-Fi,PG-13,3,854,54308575,228433663,401728227,630161890,
Hotel Transylvania 2,9,2015,80000000,89,Adventure Animation Comedy Family Fantasy Horror,PG,3,768,48464322,169700110,305099890,474800000,
Maze Runner: The Scorch Trials,9,2015,61000000,131,Action Adventure Sci-Fi Thriller,PG-13,3,792,30316510,81697192,230598864,312296056,
The Intern,9,2015,35000000,121,Comedy Drama,PG-13,3,320,17728313,75764672,119000000,194764672,
The Visit,9,2015,5000000,94,Horror Mystery Thriller,PG-13,3,148,25427560,65206105,33243957,98450062,
Black Mass,9,2015,53000000,123,Biography Crime Drama,R,3,188,22635037,62575678,37400000,99975678,
Goosebumps,10,2015,58000000,103,Adventure Comedy Fantasy Horror,PG,3,618,23618556,80080379,78180573,158260952,
The Perfect Guy,9,2015,12000000,100,Drama Romance Thriller,PG-13,2,230,25888154,57027435,3245738,60273173,
Bridge of Spies,10,2015,40000000,142,Drama History Thriller War,PG-13,2,873,15371203,72313754,93164594,165478348,
Sicario,9,2015,30000000,121,Action Crime Drama Mystery Thriller,R,2,620,401288,46889293,37983151,84872444,
Everest,9,2015,55000000,121,Action Adventure Biography Drama Thriller,PG-13,3,009,7222035,43482270,159945314,203427584,
War Room,8,2015,3000000,120,Drama,PG,1,945,11351389,67790117,5477757,73267874,
Pan,10,2015,150000000,111,Action Adventure Comedy Family Fantasy,PG,3,515,15315435,35088320,93900000,128988320,
Crimson Peak,10,2015,55000000,119,Drama Horror Mystery Romance Thriller,R,2,991,13143310,31090320,43589502,74679822,
The Last Witch Hunter,10,2015,90000000,106,Action Adventure Fantasy,PG-13,3,082,10812861,27367660,119569250,146936910,
A Walk in the Woods,9,2015,None,104,Adventure Biography Comedy Drama,R,2,158,8246267,29504281,7956993,37461274,
Steve Jobs,10,2015,30000000,122,Biography Drama,R,2,493,521522,17766658,16675215,34441873,
Paranormal Activity: The Ghost Dimension,10,2015,10000000,88,Horror Mystery,R,1,656,8070493,18300124,60603000,78903124,
Mission: Impossible - Rogue Nation,7,2015,150000000,131,Action Adventure Thriller,PG-13,3,988,55520089,195042377,487671890,682714267,
Straight Outta Compton,8,2015,28000000,147,Biography Drama History Music,R,3,142,60200180,161197785,40437206,201634991,
Woodlawn,10,2015,None,123,Biography Drama History Sport,PG,1,553,4002226,14394097,None,14401617,
The Walk,9,2015,35000000,123,Adventure Biography Drama History,PG,2,509,1560299,10137502,51044440,61181942,
Burnt,10,2015,20000000,101,Comedy Drama,R,3,003,5002521,13651946,22954797,36606743,
No Escape,8,2015,None,103,Action Thriller,R,3,415,8111264,27288872,27130000,54418872,
The Green Inferno,9,2015,5000000,100,Adventure Horror,R,1,543,3520626,7192291,5474158,12666449,
The Transporter Refueled,9,2015,None,96,Action Thriller,PG-13,3,434,7355622,16029670,56600000,72629670,
Inside Out,6,2015,175000000,95,Adventure Animation Comedy Drama Family Fantasy,PG,4,158,90440272,356461711,501149463,857611174,
Grandma,8,2015,600000,79,Comedy Drama,R,1,061,115540,6980524,224549,7205073,
Minions,7,2015,74000000,91,Adventure Animation Comedy Crime Family Sci-Fi,PG,4,311,115718405,336045770,823352627,1159398397,
Ant-Man,7,2015,130000000,117,Action Comedy Sci-Fi,PG-13,3,868,57225526,180202163,339109802,519311965,
The Man from U.N.C.L.E.,8,2015,75000000,116,Action Adventure Comedy,PG-13,3,673,13421036,45445109,64600000,110045109,
90 Minutes in Heaven,9,2015,5000000,121,Drama,PG-13,899,2035273,4842699,None,4842699,
Huevos: Little Rooster's Egg-cellent Adventure,9,2015,5300000,98,Adventure Animation Comedy Family Fantasy,PG-13,616,3424702,9080818,16811743,25892561,
Pixels,7,2015,88000000,105,Action Comedy Fantasy Sci-Fi,PG-13,3,723,24011616,78747585,166127224,244874809,
Jurassic World,6,2015,150000000,124,Action Adventure Sci-Fi,PG-13,4,291,208806270,652270625,1018130012,1670400637,
Our Brand Is Crisis,10,2015,28000000,107,Comedy Drama,R,2,202,3238433,7002261,2000000,9002261,
Hubble,3,2010,None,45,Documentary,None,151,413477,52522904,21726825,74249729,
The Gift,8,2015,5000000,108,Drama Mystery Thriller,R,2,503,11854273,43787265,15191388,58978653,
Sinister 2,8,2015,10000000,97,Horror Mystery Thriller,R,2,799,10542116,27740955,25588195,53329150,
