movie_name,month,year,budget,runtime,genres,mpaa,screens,opening_week,domestic_box_office,international_box_office,worldwide_box_office,country
The Hobbit: The Battle of the Five Armies,12,2014,None,144,Adventure Fantasy,PG-13,3,875,54724334,255119788,700900000,956019788,
Into the Woods,12,2014,50000000,125,Adventure Comedy Drama Family Fantasy Musical,PG,2,833,31051923,128002372,84900000,212902372,
Selma,12,2014,20000000,128,Biography Drama History,PG-13,2,235,571450,52076908,14711000,66787908,
Unbroken,12,2014,65000000,137,Action Biography Drama Sport War,PG-13,3,301,30621445,115637895,45821402,161459297,
Jupiter Ascending,2,2015,176000000,127,Action Adventure Sci-Fi,PG-13,3,181,18372372,47387723,136900000,184287723,
Night at the Museum: Secret of the Tomb,12,2014,127000000,98,Adventure Comedy Family Fantasy,PG,3,914,17100520,113746621,249458014,363204635,
The Boy Next Door,1,2015,4000000,91,Thriller,R,2,615,14910105,35423380,17002475,52425855,
The Woman in Black 2: Angel of Death,1,2015,None,98,Drama Horror Thriller,PG-13,2,602,15027415,26501323,22352982,48854305,
Focus,2,2015,50100000,105,Comedy Crime Drama Romance,R,3,323,18685137,53862963,105300000,159162963,
Annie,12,2014,65000000,118,Comedy Drama Family Musical,PG,3,197,15861939,85911262,50942244,136853506,
McFarland, USA,2,2015,None,129,Biography Drama Sport,PG,2,792,11020798,44482410,1227649,45710059,
Project Almanac,1,2015,12000000,106,Drama Mystery Sci-Fi Thriller,PG-13,2,900,8310252,22348241,10865000,33213241,
The DUFF,2,2015,8500000,101,Comedy Romance,PG-13,2,622,10809149,34030343,9679401,43709744,
Black or White,1,2015,9000000,121,Drama,PG-13,1,823,6213362,21571189,262778,21833967,
The Hunger Games: Mockingjay - Part 1,11,2014,125000000,123,Action Adventure Sci-Fi Thriller,PG-13,4,151,121897634,337135885,418220826,755356711,
Seventh Son,2,2015,95000000,102,Action Adventure Fantasy,PG-13,2,875,7217640,17223265,96955348,114178613,
Birdman or (The Unexpected Virtue of Ignorance),10,2014,18000000,119,Comedy Drama,R,1,213,424397,42340598,60874496,103215094,
Wild,12,2014,None,115,Adventure Biography Drama,R,1,361,606810,37880356,14621185,52501541,
Big Hero 6,11,2014,165000000,102,Action Adventure Animation Comedy Crime Family Mystery Sci-Fi,PG,3,773,56215889,222527828,435300000,657827828,
Still Alice,1,2015,5000000,101,Drama,PG-13,1,318,197000,18754371,26024824,44779195,
The Gambler,12,2014,25000000,111,Crime Drama Thriller,R,2,494,9129999,33680992,5600000,39280992,
The Lazarus Effect,2,2015,3300000,83,Horror Mystery Sci-Fi Thriller,PG-13,2,666,10203437,25801570,12555322,38356892,
Strange Magic,1,2015,None,99,Adventure Animation Comedy Family Fantasy Musical Romance,PG,3,020,5504441,12429583,1173870,13603453,
The Theory of Everything,11,2014,15000000,123,Biography Drama Romance,PG-13,1,220,208763,35893537,87833151,123726688,
Hot Tub Time Machine 2,2,2015,14000000,93,Comedy Mystery Sci-Fi,R,2,901,5963324,12314651,767000,13081651,
Blackhat,1,2015,70000000,133,Action Crime Thriller,R,2,568,3901815,8005980,11646077,19652057,
Mortdecai,1,2015,60000000,107,Action Adventure Comedy Crime Mystery,R,2,648,4200586,7696134,39579561,47275695,
Penguins of Madagascar,11,2014,132000000,92,Action Adventure Animation Comedy Crime Family Sci-Fi,PG,3,775,25447444,83850911,289664710,373515621,
Exodus: Gods and Kings,12,2014,140000000,150,Action Adventure Drama Fantasy,PG-13,3,503,24115934,65014513,203161118,268175631,
Interstellar,11,2014,165000000,169,Adventure Drama Sci-Fi,PG-13,3,561,47510360,188020017,493050380,681070397,
Big Eyes,12,2014,None,106,Biography Crime Drama Romance,PG-13,1,408,3001738,14482031,14771135,29253166,
Inherent Vice,12,2014,None,148,Comedy Crime Drama Mystery Romance,R,653,328184,8110975,6700000,14810975,
Whiplash,10,2014,3300000,106,Drama Music,R,567,135388,13092000,35890041,48982041,
The Loft,1,2015,None,108,Mystery Romance Thriller,R,1,841,2747342,6002684,5013759,11016443,
A Most Violent Year,12,2014,20000000,125,Action Crime Drama Thriller,R,818,172788,5749134,6257936,12007070,
Foxcatcher,11,2014,None,134,Biography Drama History Sport,R,759,270877,12096300,7110213,19206513,
Top Five,12,2014,None,102,Comedy Romance,R,1,426,6896593,25317471,800000,26117471,
Spare Parts,1,2015,None,114,Biography Drama History,PG-13,440,1335768,3618912,82413,3701325,
Mr. Turner,12,2014,None,150,Biography Drama History,R,120,109000,3958500,18221285,22179785,
The Oscar Nominated Short Films 2015: Live Action,1,2015,None,118,Drama,None,280,416850,2412593,None,2412593,
Horrible Bosses 2,11,2014,42000000,108,Comedy Crime,R,3,400,15457418,54445357,53200000,107645357,
The Interview,12,2014,None,112,Action Adventure Comedy,R,581,1794666,6105175,5677450,11782625,
Ode to My Father,12,2014,None,126,Drama War,None,38,33880,2300121,96785170,99085291,
Cake,1,2015,None,102,Drama,R,482,916179,1951776,408505,2360281,
Game of Thrones Season 4 Finale,1,2015,None,116,None,None,205,1464932,1896092,None,1896092,
Old Fashioned,2,2015,None,115,Drama Romance,PG-13,298,38965,1914090,None,1914090,
A la mala,2,2015,None,99,Comedy,PG-13,384,1402118,3629842,16785,3646627,
Patterns of Evidence: Exodus,1,2015,None,115,Documentary History,None,652,764309,925576,None,925576,
PK,12,2014,None,153,Comedy Drama Sci-Fi,None,272,3565258,10616104,89754000,100370104,
I,1,2015,None,188,Action Drama Romance Sci-Fi Thriller,None,222,771312,1449232,1750881,3200113,
Gone Girl,10,2014,61000000,149,Drama Mystery Thriller,R,3,284,37513109,167767189,201563174,369330363,
Two Days, One Night,12,2014,None,95,Drama,PG-13,120,30700,1436243,7580679,9016922,
Alexander and the Terrible, Horrible, No Good, Very Bad Day,10,2014,28000000,81,Comedy Drama Family Fantasy,PG,3,117,18360230,66954149,33700000,100654149,
Black Sea,1,2015,None,114,Adventure Drama Thriller,R,353,37675,1171559,2586544,3758103,
Dumb and Dumber To,11,2014,40000000,109,Comedy,PG-13,3,188,36111775,86208010,83629000,169837010,
Boyhood,7,2014,4000000,165,Drama,R,775,387618,25352281,22785385,48137666,
Jerusalem,9,2013,None,44,Documentary Short,None,33,None,8020721,1258735,9279456,
St. Vincent,10,2014,None,102,Comedy Drama,PG-13,2,552,109878,44137712,10699522,54837234,
Leviathan,12,2014,None,140,Crime Drama,R,80,15200,1092800,3346681,4439481,
The Book of Life,10,2014,50000000,95,Adventure Animation Comedy Family Fantasy Musical Romance,PG,3,113,17005218,50151543,49632013,99783556,
What We Do in the Shadows,2,2015,None,86,Comedy Horror,R,154,88940,3469224,3782002,7251226,
Timbuktu,1,2015,None,96,Drama War,PG-13,56,45110,1076075,6103316,7179391,
Song of the Sea,12,2014,None,93,Adventure Animation Drama Family Fantasy,PG,48,21910,857522,3333148,4190670,
Citizenfour,10,2014,None,114,Biography Documentary,R,105,126321,2800870,979822,3780692,
Nightcrawler,10,2014,8500000,117,Crime Drama Thriller,R,2,766,10441000,32381217,15044618,47425835,
Fury,10,2014,68000000,134,Action Drama War,R,3,313,23702421,85817906,126000000,211817906,
Somewhere Only We Know,2,2015,None,109,Drama Romance,None,46,304934,482341,45255370,45737711,
The Last: Naruto the Movie,2,2015,None,112,Action Adventure Animation Drama Romance,None,34,179370,524451,2424734,2949185,
Island of Lemurs: Madagascar,4,2014,None,39,Adventure Biography Documentary Family Short,None,302,188307,11272213,2794321,14066534,
Awake: The Life of Yogananda,10,2014,None,87,Documentary,PG,21,18885,1539680,352238,1891918,
Wild Tales,2,2015,None,122,Comedy Drama Thriller,R,122,85100,3106530,28372363,31478893,
Badlapur,2,2015,None,134,Action Crime Drama Thriller,None,82,227759,409166,None,409166,
Shamitabh,2,2015,None,155,Drama,None,137,241720,324597,7224,331821,
Red Army,1,2015,None,84,Biography Documentary History Sport,PG,84,20100,694600,104080,798680,
Running Man,1,2015,None,88,Action Comedy Documentary Reality-TV,None,21,186926,310978,68471497,68782475,
The Boxtrolls,9,2014,60000000,96,Adventure Animation Comedy Family Fantasy,PG,3,464,17275239,50837305,57418465,108255770,
The Maze Runner,9,2014,34000000,113,Action Mystery Sci-Fi Thriller,PG-13,3,638,32512804,102427862,245891999,348319861,
The Babadook,11,2014,None,94,Drama Horror Mystery,None,80,30007,964413,9529469,10493882,
Force Majeure,10,2014,None,120,Comedy Drama,R,68,23309,1359497,2734842,4094339,
Tevar,1,2015,None,157,Action Drama Romance Thriller,None,127,171026,236002,6451,242453,
Miss Granny,1,2015,None,131,Comedy Fantasy Music,None,13,92827,234573,59161738,59396311,
The Taking of Tiger Mountain,1,2015,None,141,Action Adventure Biography History War,None,13,50621,228984,141425071,141654055,
The Grand Budapest Hotel,3,2014,25000000,99,Adventure Comedy Crime,R,1,467,811166,59301324,113635617,172936941,
The Equalizer,9,2014,55000000,132,Action Crime Thriller,R,3,236,34137828,101530738,90800000,192330738,
A Matter of Faith,10,2014,None,89,Drama,PG,52,138677,680113,None,680113,
The Homesman,11,2014,None,122,Drama Western,R,222,45433,2429989,1389432,3819421,
Guardians of the Galaxy,8,2014,170000000,121,Action Adventure Comedy Sci-Fi,PG-13,4,088,94320883,333176600,439600000,772776600,
A Girl Walks Home Alone at Night,11,2014,None,101,Drama Horror Romance Thriller,None,19,None,491910,97397,589307,
Maps to the Stars,2,2015,None,111,Comedy Drama Mystery,R,66,143422,350741,4160193,4510934,
John Wick,10,2014,20000000,101,Action Crime Thriller,R,2,589,14415922,43037835,42975221,86013056,
Mommy,9,2014,None,139,Drama,R,83,473882,3494070,9662786,13156856,
Ballet 422,2,2015,None,75,Documentary Music Sport,PG,27,27653,333554,None,333554,
Human Capital,1,2015,None,111,Crime Drama,None,11,21669,158549,8955392,9113941,
Gett,2,2015,None,115,Drama,None,74,24210,988150,271010,1259160,
She's Beautiful When She's Angry,12,2014,None,92,Documentary History,None,19,10505,421573,None,421573,
Goodbye to Language,10,2014,None,70,Drama Fantasy,None,7,None,401889,165979,567868,
Above and Beyond,1,2015,None,90,Adventure Documentary History War,None,13,6448,288751,None,288751,
C'est Si Bon,2,2015,None,122,Drama Romance,None,23,None,164167,11585868,11750035,
Good Day, Ramon,1,2015,None,120,Drama,PG-13,29,51105,154356,4950512,5104868,
Backstreet Boys: Show 'Em What You're Made Of,1,2015,None,101,Documentary,None,60,153068,153068,None,153068,
The Last Five Years,2,2015,None,94,Comedy Drama Musical Romance,PG-13,36,42042,145427,146665,292092,
The Tale of The Princess Kaguya,10,2014,None,137,Animation Drama Family Fantasy Romance,PG,29,54915,703232,23731253,24434485,
Zhongkui: Snow Girl and the Dark Crystal,2,2015,None,118,Action Fantasy Romance,None,24,73817,165428,64160519,64325947,
The Judge,10,2014,50000000,141,Crime Drama Mystery Thriller,R,3,003,13116226,47119388,37300000,84419388,
After the Ball,2,2015,None,101,Comedy,None,43,31718,161820,72597,234417,
Ida,5,2014,None,82,Drama,PG-13,137,55438,3827060,7329776,11156836,
I Am Eleven,9,2014,None,98,Biography Documentary,None,16,5800,310116,None,310116,
'71,2,2015,None,99,Action Crime Drama Thriller War,R,121,55761,1270847,1791331,3062178,
Beyond the Lights,11,2014,7000000,116,Drama Music Romance,PG-13,1,789,6200284,14618727,None,14618727,
Predestination,1,2015,None,97,Action Drama Sci-Fi Thriller,R,20,44028,68372,4756127,4824499,
National Gallery,11,2014,None,180,Documentary,None,15,10049,253941,101030,354971,
Antarctica: A Year on Ice,11,2014,None,91,Adventure Biography Documentary Drama,PG,30,32238,288757,None,288757,
The Pyramid,12,2014,None,89,Horror Mystery Thriller,R,685,1369935,2756333,14104804,16861137,
Legends from the Sky,1,2015,None,85,Sci-Fi,None,8,18168,91462,None,91462,
Deli Man,2,2015,None,92,Documentary History,PG-13,38,37321,502294,None,502294,
Love on the Cloud,12,2014,None,135,Comedy,None,17,67967,271734,45114826,45386560,
The Search for General Tso,1,2015,None,71,Comedy Documentary History Mystery,None,13,9336,54275,None,54275,
Six Dance Lessons in Six Weeks,12,2014,None,107,Comedy Drama,None,13,12542,106323,None,106323,
The Best of Me,10,2014,26000000,118,Drama Romance,PG-13,2,936,10003827,26766213,11843455,38609668,
The Duke of Burgundy,1,2015,None,104,Drama Romance,None,10,11902,64521,120626,185147,
Beloved Sisters,1,2015,None,138,Drama History Romance,None,9,19704,54030,2353650,2407680,
Appropriate Behavior,1,2015,None,86,Comedy Drama Romance,None,11,19114,46912,76787,123699,
Zero Motivation,12,2014,None,97,Comedy Drama,None,7,9427,116044,22565,138609,
Girlhood,1,2015,None,113,Drama,None,5,7667,60765,1802225,1862990,
Queen & Country,2,2015,None,114,Biography Comedy Drama History,None,9,5954,41297,114584,155881,
Match,1,2015,None,92,Comedy Drama,R,9,6000,37285,None,37285,
The Hunting Ground,2,2015,None,103,Documentary,PG-13,25,22464,405917,None,405917,
The Principle,10,2014,None,90,Documentary News Thriller,PG,3,8657,89543,None,89543,
Dear White People,10,2014,None,108,Comedy Drama Romance,R,393,347959,4404154,229807,4633961,
Song One,1,2015,None,86,Drama Music Romance,PG-13,27,20200,32251,376667,408918,
Love Forecast,1,2015,None,118,Comedy Drama Romance,None,1,11600,32211,13576426,13608637,
Amira & Sam,1,2015,None,90,Comedy Drama Romance,None,10,15535,31849,None,31849,
Americons,1,2015,None,89,Action Biography Crime Drama,R,14,14404,28782,None,28782,
Last Days in Vietnam,9,2014,None,98,Documentary History War,None,25,30500,466114,None,466114,
Meet the Mormons,10,2014,None,78,Documentary,PG,333,2509808,6047363,None,6047363,
R100,1,2015,None,99,Comedy Drama,None,11,7263,24956,None,24956,
Love, Rosie,2,2015,None,102,Comedy Romance,R,15,14893,None,25553956,25574387,
My Old Lady,9,2014,None,107,Comedy Drama Romance,PG-13,273,124680,4013786,6592881,10606667,
Gangnam 1970,2,2015,None,135,Action Crime Drama,None,1,18022,None,16173412,16191434,
Boy Meets Girl,2,2015,None,95,Comedy Drama Romance,None,4,5306,20441,6412,26853,
Long Live Freedom,11,2014,None,94,Comedy Drama,None,10,5272,48541,947449,995990,
Monk with a Camera,11,2014,None,90,Biography Documentary News,None,4,None,45938,None,45938,
The Good Lie,10,2014,None,110,Biography Drama,PG-13,461,841422,2722209,674136,3396345,
Hard to Be a God,1,2015,None,177,Drama Sci-Fi,None,3,None,28608,1270427,1299035,
Fleet of Time,12,2014,None,119,Drama Romance,None,20,206591,569280,93674911,94244191,
Sagrada: The Mystery of Creation,9,2014,None,89,Documentary,None,5,2009,58755,None,58755,
Goodbye to All That,12,2014,None,87,Comedy Drama Romance,None,3,None,16986,None,16986,
The Overnighters,10,2014,None,102,Documentary Drama,PG-13,23,4324,110763,None,110763,
Listen Up Philip,10,2014,None,108,Comedy Drama,None,30,23284,200126,None,200126,
Trace Amounts,1,2015,None,97,Adventure Documentary Drama History,None,7,None,80735,None,80735,
The Devil's Violinist,1,2015,None,122,Biography Drama Musical,R,10,8013,11294,3940803,3952097,
Diplomacy,10,2014,None,84,Drama History War,None,14,8518,230880,3976362,4207242,
Digging Up the Marrow,2,2015,None,89,Comedy Horror Mystery Sci-Fi Thriller,None,1,None,10969,None,10969,
A Tale of Winter,12,2014,None,114,Drama Romance,None,3,3802,23268,29163,52431,
Little Accidents,1,2015,None,105,Drama,None,17,8649,10071,None,10071,
Why Don't You Play in Hell?,11,2014,None,129,Action Comedy Horror,None,11,5060,28534,1237338,1265872,
Still Life,1,2015,None,92,Drama,None,5,None,9481,2485544,2495025,
Actress,11,2014,None,86,Documentary Drama,None,4,4880,19365,None,19365,
Eastern Boys,2,2015,None,128,Crime Drama Romance Thriller,None,2,5726,16831,147459,164290,
Hiroshima Mon Amour,10,2014,None,90,Drama Romance,None,7,18494,96439,None,96439,
Art and Craft,9,2014,None,89,Documentary,None,20,20879,235037,None,235037,
One Small Hitch,2,2015,None,105,Comedy Romance,None,10,5328,7965,None,7965,
The Salvation,2,2015,None,92,Action Drama Thriller Western,R,28,4651,44903,1319061,1363964,
Walking the Camino: Six Ways to Santiago,9,2013,None,84,Documentary,None,11,None,612717,None,612717,
If You Don't, I Will,12,2014,None,102,Comedy Drama,None,1,1707,9719,None,9719,
Advanced Style,9,2014,None,72,Biography Comedy Documentary Drama Family,None,12,6500,87879,119352,207231,
On the Way to School,2,2015,None,77,Documentary,None,2,None,7424,533234,540658,
Wild Canaries,2,2015,None,96,Comedy Crime Drama Mystery Romance Thriller,None,4,2683,19777,None,19777,
Women Who Flirt,11,2014,None,97,Comedy,None,27,74052,375495,38780637,39156132,
The Way He Looks,11,2014,None,96,Drama Romance,None,14,26334,101451,1106390,1207841,
Inside the Mind of Leonardo,12,2014,None,85,Biography Documentary History,None,5,None,10600,None,10600,
Miss Hill: Making Dance Matter,1,2015,None,84,Biography Documentary History,None,1,2560,4706,None,4706,
Against the Sun,1,2015,None,100,Biography Drama War,PG,11,3023,4646,None,4646,
Concerning Violence,12,2014,None,90,Documentary Drama History War,None,2,None,12680,None,12680,
Farewell, Herr Schwarz,1,2015,None,96,Documentary,None,2,None,4445,None,4445,
The Sacrifice,11,2014,None,149,Drama,None,2,None,20945,None,20945,
Futuro Beach,2,2015,None,106,Drama Romance,None,4,3324,20262,759573,779835,
Li'l Quinquin,1,2015,None,206,Comedy Crime Mystery,None,2,3204,7192,10676,17868,
Three Night Stand,1,2015,None,86,Comedy Drama,None,10,2538,4076,None,4076,
Salvation Army,1,2015,None,81,Drama,None,1,2433,3929,48582,52511,
The Immortalists,11,2014,None,78,Documentary Drama,None,3,None,9331,None,9331,
Medeas,1,2015,None,97,Drama,None,2,3025,5895,None,5895,
Le Jour Se Leve,11,2014,None,93,Crime Drama Romance Thriller,None,3,11864,35321,None,35321,
Love Thy Nature,2,2015,None,76,Documentary,None,17,None,41149,11798,52947,
The Worst Movie Ever!,8,2011,None,76,Action Comedy Musical Sci-Fi,None,2,11,25206,None,25206,
20,000 Days on Earth,9,2014,None,97,Documentary Drama Music,None,28,27879,279558,1826000,2105558,
Anita Ho,2,2015,None,84,Comedy Family Romance,None,1,2250,2250,None,2250,
Life Partners,12,2014,None,93,Comedy Drama Romance,R,3,2665,8265,None,8265,
T-Rex: Back to the Cretaceous,10,1998,None,45,Adventure Family Fantasy,None,38,None,53354743,50605624,103960367,
The King and the Mockingbird,11,2014,None,83,Animation Family Fantasy Romance,None,8,3721,27513,None,27513,
Penton: The John Penton Story,6,2014,None,135,Adventure Biography Documentary Sport,None,14,None,112159,None,112159,
Manuscripts Don't Burn,7,2014,None,125,Drama Thriller,None,2,None,6295,None,6295,
Batman v Superman: Dawn of Justice,3,2016,250000000,151,Action Adventure Sci-Fi,PG-13,4,256,166007347,330360194,544000000,874360194,
Zootopia,3,2016,None,108,Action Adventure Animation Comedy Family Sci-Fi,PG,3,959,75063401,341268248,682515947,1023784195,
The Jungle Book,4,2016,175000000,106,Action Adventure Animation Drama Family Fantasy Musical,PG,4,144,103261464,364001123,602549477,966550600,
10 Cloverfield Lane,3,2016,None,103,Drama Horror Mystery Sci-Fi Thriller,PG-13,3,427,24727437,72082998,38134000,110216998,
Deadpool,2,2016,58000000,108,Action Comedy,R,3,856,132434639,363070709,419541446,782612155,
Allegiant,3,2016,None,120,Action Adventure Mystery Sci-Fi Thriller,PG-13,3,740,29027348,66184051,113062817,179246868,
London Has Fallen,3,2016,60000000,99,Action Thriller,R,3,492,21635601,62524260,143230187,205754447,
Miracles from Heaven,3,2016,13000000,109,Biography Drama Family,PG,3,155,14812393,61705123,12277880,73983003,
My Big Fat Greek Wedding 2,3,2016,None,94,Comedy Romance,PG-13,3,179,17861950,59689605,30943036,90632641,
The Boss,4,2016,29000000,99,Comedy,R,3,495,23586645,63285885,15558697,78844582,
Barbershop: The Next Cut,4,2016,None,111,Comedy Drama,PG-13,2,676,20242415,54030051,1600000,55630051,
The Huntsman: Winter's War,4,2016,115000000,114,Action Adventure Drama Fantasy Romance Sci-Fi War,PG-13,3,802,19445035,48390190,116599148,164989338,
Whiskey Tango Foxtrot,3,2016,35000000,112,Biography Comedy Drama War,R,2,413,7450275,23083334,1888805,24972139,
God's Not Dead 2,4,2016,None,120,Drama Fantasy,PG,2,419,7623662,20774575,3713273,24487848,
Eye in the Sky,3,2016,None,102,Action Drama Thriller War,R,1,089,113803,18704595,16555058,35259653,
Criminal,4,2016,None,113,Action Sci-Fi Thriller,R,2,683,5767278,14708696,24095297,38803993,
Gods of Egypt,2,2016,140000000,127,Action Adventure Drama Fantasy,PG-13,3,117,14123903,31153464,119527400,150680864,
Hello, My Name Is Doris,3,2016,None,90,Comedy Drama Romance,R,979,84986,14444999,214449,14659448,
Risen,2,2016,20000000,107,Action Drama History Mystery,PG-13,2,915,11801271,36880033,9552546,46432579,
Keanu,4,2016,15000000,100,Action Comedy Crime,R,2,681,9453224,20591853,158000,20749853,
Kung Fu Panda 3,1,2016,145000000,95,Action Adventure Animation Comedy Family Fantasy,PG,3,987,41282042,143528619,377642206,521170825,
Mother's Day,4,2016,25000000,118,Comedy Drama Romance,PG-13,3,291,8369184,32492859,16289811,48782670,
The Revenant,12,2015,135000000,156,Action Adventure Drama Western,R,3,711,474560,183637894,349312609,532950503,
The Perfect Match,3,2016,None,96,Comedy Romance,R,925,4294232,9669521,745217,10414738,
Star Wars: Episode VII - The Force Awakens,12,2015,245000000,138,Action Adventure Sci-Fi,PG-13,4,134,247966675,936662225,1131561399,2068223624,
Hardcore Henry,4,2016,None,96,Action Adventure Sci-Fi Thriller,R,3,015,5107604,9252038,7558524,16810562,
Meet the Blacks,4,2016,None,94,Comedy Horror,R,1,015,4055940,9097072,None,9097072,
Eddie the Eagle,2,2016,23000000,106,Adventure Biography Comedy Drama History Sport,PG-13,2,044,6084682,15789389,30363411,46152800,
The Brothers Grimsby,3,2016,None,83,Action Adventure Comedy Crime,R,2,235,3258327,6874837,21104203,27979040,
The Witch,2,2016,4000000,92,Drama Fantasy Horror Mystery Thriller,R,2,204,8800230,25138705,15285240,40423945,
The Young Messiah,3,2016,None,111,Drama Fantasy,PG-13,1,769,3294876,6490401,839937,7330338,
How to Be Single,2,2016,38000000,110,Comedy Drama Romance,R,3,357,17878911,46843513,65700000,112543513,
Ratchet & Clank,4,2016,None,94,Action Adventure Animation Comedy Family Fantasy Sci-Fi,PG,2,895,4869278,8821329,4564408,13385737,
Spotlight,11,2015,None,129,Biography Crime Drama,R,1,227,295009,45055776,53634478,98690254,
Triple 9,2,2016,None,115,Action Crime Drama Thriller,R,2,205,6109085,12639297,10538651,23177948,
Race,2,2016,None,134,Biography Drama Sport,PG-13,2,387,7353922,19206207,5864054,25070261,
Midnight Special,3,2016,None,112,Drama Mystery Sci-Fi Thriller,PG-13,521,190012,3712282,3400000,7112282,
The Lady in the Van,12,2015,None,104,Biography Comedy Drama,PG-13,602,None,10021175,31366512,41387687,
Everybody Wants Some!!,3,2016,None,117,Comedy,R,454,312355,3400278,1244194,4644472,
The Other Side of the Door,3,2016,None,96,Horror Thriller,R,585,1211210,3000342,11332125,14332467,
A Hologram for the King,4,2016,None,98,Comedy Drama Romance,R,523,1138578,4212494,4957013,9169507,
Kapoor & Sons,3,2016,None,132,Comedy Drama Family Romance,None,153,986992,2607036,14805591,17412627,
Compadres,4,2016,None,101,Action Comedy Crime,R,368,1397434,3127773,4225771,7353544,
Ride Along 2,1,2016,40000000,102,Action Comedy Crime,PG-13,3,192,35243095,91221830,33383467,124605297,
Fan,4,2016,15670000,138,Action Drama Thriller,None,307,1382871,2300000,25940000,28240000,
Miles Ahead,4,2016,None,100,Biography Drama Music Romance,R,527,114530,2610896,863062,3473958,
Demolition,4,2016,None,101,Comedy Drama,R,862,1100042,1978592,2387868,4366460,
Purple Rain,4,2016,None,111,Drama Music Romance,None,87,None,1868075,None,1868929,
Daddy's Home,12,2015,None,96,Comedy Family,PG-13,3,483,38740203,150357137,92429000,242786137,
Green Room,4,2016,None,95,Crime Drama Horror Music Thriller,R,777,87984,3220371,547031,3767402,
Hail, Caesar!,2,2016,22000000,106,Comedy Drama Mystery,PG-13,2,248,11355225,30498085,33149571,63647656,
I Saw the Light,3,2016,None,123,Biography Drama Music Romance,R,741,45471,1646788,121175,1767963,
The 5th Wave,1,2016,38000000,112,Action Adventure Sci-Fi Thriller,PG-13,2,908,10326356,34916787,74989585,109906372,
Brooklyn,11,2015,None,117,Drama Romance,PG-13,962,187281,38322743,23753398,62076141,
The Big Short,12,2015,28000000,130,Biography Comedy Drama History,R,2,529,705527,70259870,63181000,133440870,
Anomalisa,12,2015,8000000,90,Animation Comedy Drama Romance,R,573,135222,3759286,1900000,5659286,
The Boy,1,2016,10000000,97,Horror Mystery Thriller,PG-13,2,671,10778392,35819556,28368811,64188367,
Where to Invade Next,2,2016,None,120,Comedy Documentary,R,308,897034,3827261,837495,4664756,
Embrace of the Serpent,2,2016,None,125,Adventure Biography Drama,None,93,50955,1329249,1887927,3217176,
The Finest Hours,1,2016,None,117,Action Drama History Thriller,PG-13,3,143,10288932,27569558,24529532,52099090,
Alvin and the Chipmunks: The Road Chip,12,2015,None,92,Adventure Comedy Family Fantasy Music Musical,PG,3,705,14287159,85886987,148911649,234798636,
Elvis & Nixon,4,2016,None,86,Comedy History,R,381,466447,1055287,743145,1798432,
Room,10,2015,None,118,Drama Thriller,R,862,118298,14677654,20724104,35401758,
The Mermaid,2,2016,None,94,Comedy Drama Fantasy Romance,R,106,985052,3232685,550577543,553810228,
Zoolander 2,2,2016,None,101,Action Adventure Comedy Mystery Romance,PG-13,3,418,13841146,28848693,27874000,56722693,
Ki & Ka,4,2016,None,126,Comedy Romance,None,148,439521,857986,308795,1166781,
The Little Prince,2,2016,None,108,Adventure Animation Drama Family Fantasy Sci-Fi,PG,163,116927,1339152,96232098,97571250,
The Good Dinosaur,11,2015,None,93,Adventure Animation Comedy Drama Family Fantasy,PG,3,749,39155217,123087120,209120551,332207671,
Huo guo ying xiong,4,2016,None,94,Comedy Crime Thriller,None,46,201960,779818,57326609,58106427,
Sing Street,4,2016,None,106,Comedy Drama Music Romance,PG-13,525,63573,3237118,10387404,13624522,
Papa Hemingway in Cuba,4,2016,None,110,Biography Drama,R,325,475224,1115615,1784,1117399,
The Bronze,3,2016,None,100,Comedy Drama Sport,R,1,167,386328,615816,None,615816,
WARx2,9,2015,None,117,Comedy,PG-13,16,30931,2310625,None,2310625,
Born to Be Blue,3,2016,None,97,Biography Drama Music Romance,R,79,46184,678203,723208,1401411,
City of Gold,3,2016,None,96,Biography Documentary,R,50,62959,640979,19466,660445,
Remember,3,2016,None,94,Drama Mystery Thriller,R,60,20489,637555,543468,1181023,
Knight of Cups,3,2016,None,118,Drama Fantasy Romance,R,68,60551,566006,460282,1026288,
Saturday's Warrior,4,2016,None,120,Musical,PG,28,96041,744046,None,744046,
The Hateful Eight,12,2015,44000000,168,Crime Drama Mystery Thriller Western,R,2,938,4610676,54117416,101642701,155760117,
The Boy and the Beast,3,2016,None,119,Action Adventure Animation Drama Fantasy,PG-13,123,274247,490643,49223735,49714378,
13 Hours,1,2016,50000000,144,Action Drama History Thriller War,R,2,917,16194738,52853219,16558151,69411370,
Marguerite,3,2016,None,129,Comedy Drama Music,R,46,19924,506677,8247679,8754356,
The Choice,2,2016,None,111,Drama Romance,PG-13,2,631,6050443,18730891,4333124,23064015,
The First Monday in May,4,2016,None,90,Documentary,PG-13,45,99242,527474,545469,1072943,
The Meddler,4,2016,None,103,Comedy Drama Romance,PG-13,464,57022,4267218,1027425,5294643,
Unsullied,4,2016,None,93,Action Horror Thriller,R,102,179112,510957,None,510957,
A Beautiful Planet,4,2016,None,46,Documentary,None,155,223983,15650615,10079505,25730120,
Son of Saul,12,2015,None,107,Drama War,R,180,37930,1777043,4882078,6659121,
Hubble,3,2010,None,45,Documentary,None,151,413477,52522904,21726825,74249729,
