month,year,mpaa,budget,runtime,screens,opening_week,domestic_box_office,user_vote,ratings,critic_vote,meta_score,country,sequel,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7
3.0,2016.0,3,15000000.0,103.0,3427.0,24727437.0,72082999.0,355000.0,7.2,358.0,88.32,192,0.0,-0.3051366858297232,-0.17142737289657553,2.5041580504391385,-0.2627622767907064,-0.6974360747209644,-0.1249420940551546,0.9108315483761462
3.0,2008.0,3,105000000.0,109.0,3454.0,35867488.0,94784201.0,136000.0,5.1,29.0,34.0,230,0.0,0.5251687886397661,1.1527933997672213,-0.3458083747951613,2.647992219964232,-0.5105304722353334,0.16438167431453793,0.020182410646601045
11.0,2000.0,0,85000000.0,100.0,2704.0,19883351.0,66957026.0,40000.0,4.8,114.0,31.05,192,0.0,1.590762532600413,-0.23708464699425616,-0.41617070533906775,-0.5183864337149391,-0.15923676595726122,0.05037577987249682,-0.5762012682536825
3.0,2009.0,3,20000000.0,108.0,2331.0,5329240.0,12234694.0,31000.0,5.6,85.0,32.07,192,0.0,-0.5500013452955288,1.0929422836080496,0.17245848226019075,-0.19689287689482046,1.829355394131188,-0.34662950882608823,-0.38985403392481555
1.0,2018.0,4,35000000.0,130.0,3018.0,15815025.0,45819713.0,92000.0,6.5,216.0,50.8,192,0.0,-0.325402713993213,0.5851546275309609,-0.3260913281472055,3.7642972572130162,-0.26121496972662217,-0.2458655949026061,-1.0116477158131016
10.0,2013.0,4,20000000.0,134.0,1474.0,923715.0,56671993.0,742000.0,8.1,436.0,95.13,192,0.0,-0.2527155119251359,-0.42936536805493397,0.14452271621692975,2.466184102324998,-0.26562756079717287,2.1061788750292827,-0.9845751751324988
11.0,2010.0,4,18000000.0,94.0,916.0,264851.0,18335230.0,402000.0,7.5,277.0,91.49,192,0.0,-0.4354461296895735,-0.3401755862434365,-0.05158572709866951,0.44786027227365727,-0.3157025122746867,1.8560595266045612,0.3138585966492101
4.0,2004.0,3,37000000.0,98.0,3453.0,21054283.0,57231747.0,217000.0,6.3,213.0,63.69,192,0.0,-0.2506751868369808,-0.6226243774182586,-0.7133263832855344,-0.6197236188720009,-0.650202203266154,-0.7009882303225357,-0.7238392791320871
1.0,2016.0,4,50000000.0,144.0,2917.0,16194738.0,52853219.0,161000.0,7.3,260.0,50.58,192,0.0,-0.3536338992780847,0.702426614481468,0.3318612518036047,3.8205799668310054,0.09609450185319628,-0.5498814628054983,-0.7456048943451943
6.0,2007.0,3,25000000.0,104.0,2733.0,20617667.0,71985628.0,295000.0,6.8,204.0,77.88,192,0.0,0.024314184104454406,-0.3210885258849773,1.9780382611284753,-0.6719640251200386,-1.0170641797713948,-0.18928156706239904,-0.8048783220796162
3.0,2001.0,4,60000000.0,120.0,2337.0,10523154.0,24403552.0,52000.0,6.1,155.0,32.41,123,0.0,-0.5631289325914203,0.716893887892274,0.09467315469241379,0.33003651244119886,1.8790994675377604,-0.18888436210163842,1.0199693801456173
3.0,2006.0,3,45000000.0,105.0,2706.0,11855260.0,36895141.0,135000.0,6.6,195.0,56.39,192,0.0,-0.5804846661678114,0.8787374780185817,0.13193970525958337,0.48177233944309444,0.11183804943276855,-0.16375507387228258,1.092599724457733
4.0,2009.0,3,40000000.0,102.0,3255.0,23722310.0,64167069.0,217000.0,6.4,175.0,55.61,192,0.0,-0.3541594964449773,-0.8220578934625681,-0.8881173275496108,-0.6141415041530276,-0.5668261491032824,0.6086763932411835,0.7118759481135891
6.0,2003.0,3,76000000.0,107.0,3418.0,50472480.0,127154901.0,298000.0,5.9,197.0,37.18,192,0.0,-0.5500013452955288,1.0929422836080496,0.17245848226019075,-0.19689287689482046,1.829355394131188,-0.34662950882608823,-0.38985403392481555
8.0,2013.0,4,61000000.0,109.0,3028.0,27059130.0,75612460.0,226000.0,6.7,232.0,62.33,192,0.0,-0.5455608058794343,0.9472730333176631,-0.29407292467001683,-0.3377674213386692,0.20506020900399813,-0.5771992892050635,-0.6322483302198247
11.0,2009.0,3,200000000.0,158.0,3444.0,65237614.0,166112167.0,398000.0,5.8,280.0,40.21,192,0.0,0.06747366081780536,2.0264691390481637,-0.5181789536153532,-0.07127135004780388,-0.6977749370553799,-0.032872626648946246,-0.051363596724700554
12.0,2016.0,4,7000000.0,119.0,650.0,111200.0,5664764.0,49000.0,7.3,270.0,87.26,192,0.0,-0.43229430843835875,-0.7525965338397491,-0.5736064897143689,-0.10135303246019595,-0.2596696863565511,0.016528411102002028,0.2880477015154483
