month,year,mpaa,budget,runtime,screens,domestic_box_office,critic_vote,meta_score,country,sequel,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7
3.0,2016.0,3,15000000.0,103.0,3427.0,72082999.0,358.0,88.32,192,0.0,-0.3051366858297232,-0.17142737289657553,2.5041580504391385,-0.2627622767907064,-0.6974360747209644,-0.1249420940551546,0.9108315483761462
3.0,2008.0,3,105000000.0,109.0,3454.0,94784201.0,29.0,34.0,230,0.0,0.5251687886397661,1.1527933997672213,-0.3458083747951613,2.647992219964232,-0.5105304722353334,0.16438167431453793,0.020182410646601045
11.0,2000.0,0,85000000.0,100.0,2704.0,66957026.0,114.0,31.05,192,0.0,1.590762532600413,-0.23708464699425616,-0.41617070533906775,-0.5183864337149391,-0.15923676595726122,0.05037577987249682,-0.5762012682536825
3.0,2009.0,3,20000000.0,108.0,2331.0,12234694.0,85.0,32.07,192,0.0,-0.5500013452955288,1.0929422836080496,0.17245848226019075,-0.19689287689482046,1.829355394131188,-0.34662950882608823,-0.38985403392481555
1.0,2018.0,4,35000000.0,130.0,3018.0,45819713.0,216.0,50.8,192,0.0,-0.325402713993213,0.5851546275309609,-0.3260913281472055,3.7642972572130162,-0.26121496972662217,-0.2458655949026061,-1.0116477158131016
10.0,2013.0,4,20000000.0,134.0,1474.0,56671993.0,436.0,95.13,192,0.0,-0.2527155119251359,-0.42936536805493397,0.14452271621692975,2.466184102324998,-0.26562756079717287,2.1061788750292827,-0.9845751751324988
11.0,2010.0,4,18000000.0,94.0,916.0,18335230.0,277.0,91.49,192,0.0,-0.4354461296895735,-0.3401755862434365,-0.05158572709866951,0.44786027227365727,-0.3157025122746867,1.8560595266045612,0.3138585966492101
4.0,2004.0,3,37000000.0,98.0,3453.0,57231747.0,213.0,63.69,192,0.0,-0.2506751868369808,-0.6226243774182586,-0.7133263832855344,-0.6197236188720009,-0.650202203266154,-0.7009882303225357,-0.7238392791320871
1.0,2016.0,4,50000000.0,144.0,2917.0,52853219.0,260.0,50.58,192,0.0,-0.3536338992780847,0.702426614481468,0.3318612518036047,3.8205799668310054,0.09609450185319628,-0.5498814628054983,-0.7456048943451943
6.0,2007.0,3,25000000.0,104.0,2733.0,71985628.0,204.0,77.88,192,0.0,0.024314184104454406,-0.3210885258849773,1.9780382611284753,-0.6719640251200386,-1.0170641797713948,-0.18928156706239904,-0.8048783220796162
3.0,2001.0,4,60000000.0,120.0,2337.0,24403552.0,155.0,32.41,123,0.0,-0.5631289325914203,0.716893887892274,0.09467315469241379,0.33003651244119886,1.8790994675377604,-0.18888436210163842,1.0199693801456173
3.0,2006.0,3,45000000.0,105.0,2706.0,36895141.0,195.0,56.39,192,0.0,-0.5804846661678114,0.8787374780185817,0.13193970525958337,0.48177233944309444,0.11183804943276855,-0.16375507387228258,1.092599724457733
4.0,2009.0,3,40000000.0,102.0,3255.0,64167069.0,175.0,55.61,192,0.0,-0.3541594964449773,-0.8220578934625681,-0.8881173275496108,-0.6141415041530276,-0.5668261491032824,0.6086763932411835,0.7118759481135891
6.0,2003.0,3,76000000.0,107.0,3418.0,127154901.0,197.0,37.18,192,0.0,-0.5500013452955288,1.0929422836080496,0.17245848226019075,-0.19689287689482046,1.829355394131188,-0.34662950882608823,-0.38985403392481555
8.0,2013.0,4,61000000.0,109.0,3028.0,75612460.0,232.0,62.33,192,0.0,-0.5455608058794343,0.9472730333176631,-0.29407292467001683,-0.3377674213386692,0.20506020900399813,-0.5771992892050635,-0.6322483302198247
11.0,2009.0,3,200000000.0,158.0,3444.0,166112167.0,280.0,40.21,192,0.0,0.06747366081780536,2.0264691390481637,-0.5181789536153532,-0.07127135004780388,-0.6977749370553799,-0.032872626648946246,-0.051363596724700554
12.0,2016.0,4,7000000.0,119.0,650.0,5664764.0,270.0,87.26,192,0.0,-0.43229430843835875,-0.7525965338397491,-0.5736064897143689,-0.10135303246019595,-0.2596696863565511,0.016528411102002028,0.2880477015154483
3.0,2008.0,3,35000000.0,123.0,2952.0,81159365.0,200.0,37.74,192,0.0,-0.4649660331393249,-0.48965529659885554,0.5508774971666491,0.09580422160164176,1.7219349703504572,-0.056917676421914865,0.7964848192783651
3.0,2013.0,4,13000000.0,93.0,2771.0,25682380.0,21.0,34.0,192,0.0,-0.41916672114246734,-0.3765481381239736,-0.495821162146592,-0.6282824217962154,-0.3094137597631234,-0.14121673562244771,-1.1217757125549845
11.0,2019.0,4,33000000.0,103.0,2665.0,28539757.0,172.0,53.44,192,0.0,0.13512480184890405,1.0684538496379679,0.6221332462842276,0.46293908158678454,1.7715302620779039,-0.47348784232556684,1.474025214466732
11.0,2003.0,4,20000000.0,124.0,411.0,16290476.0,221.0,78.96,192,0.0,-0.4649660331393249,-0.48965529659885554,0.5508774971666491,0.09580422160164176,1.7219349703504572,-0.056917676421914865,0.7964848192783651
3.0,2012.0,4,42000000.0,109.0,3148.0,138447667.0,270.0,82.57,192,0.0,-0.49997388701817147,0.6681574562408482,-0.9892920551879966,-0.5457859579585538,1.6150121555291712,-0.2983127095315272,-0.970921495999848
6.0,2014.0,4,50000000.0,112.0,3426.0,191719337.0,268.0,81.77,192,0.0,-0.49997388701817147,0.6681574562408482,-0.9892920551879966,-0.5457859579585538,1.6150121555291712,-0.2983127095315272,-0.970921495999848
12.0,2002.0,4,5000000.0,135.0,495.0,13084595.0,215.0,77.14,192,0.0,-0.4540905814308443,-0.445083693423055,-0.06980853221699171,0.19125733898554834,-0.40263591933435294,0.2722274797103332,0.6030723421225733
1.0,2008.0,3,30000000.0,111.0,3074.0,76808654.0,186.0,42.0,192,0.0,-0.5498202352834642,-0.6056213974026391,-0.8094958005547184,-0.6454271485535504,-0.5155494987650829,-0.5585738407022172,-0.8565475844007433
4.0,2000.0,3,43000000.0,104.0,2523.0,37035515.0,112.0,36.02,192,0.0,-0.43229430843835875,-0.7525965338397491,-0.5736064897143689,-0.10135303246019595,-0.2596696863565511,0.016528411102002028,0.2880477015154483
5.0,2007.0,4,15000000.0,100.0,2305.0,28638916.0,233.0,72.88,167,0.0,-0.3664850443774998,0.23330974464926219,1.2844573457755744,-0.8004017144840638,-1.1774017113122253,0.22234802882674146,-0.8597395473134808
2.0,2014.0,3,28000000.0,117.0,2872.0,30697999.0,151.0,30.38,104,0.0,-0.5804846661678114,0.8787374780185817,0.13193970525958337,0.48177233944309444,0.11183804943276855,-0.16375507387228258,1.092599724457733
3.0,2000.0,4,4000000.0,82.0,678.0,9821335.0,45.0,3.91,192,0.0,-0.41916672114246734,-0.3765481381239736,-0.495821162146592,-0.6282824217962154,-0.3094137597631234,-0.14121673562244771,-1.1217757125549845
10.0,2007.0,4,30000000.0,113.0,2859.0,39569000.0,187.0,51.31,192,0.0,-0.5039320802075359,1.1656963343528486,1.4440836290553354,-0.36157989308339156,-0.440849598108072,-0.2818303293212432,-0.542764105164399
8.0,2011.0,4,28000000.0,83.0,2888.0,37053924.0,202.0,45.73,192,0.0,-0.49997388701817147,0.6681574562408482,-0.9892920551879966,-0.5457859579585538,1.6150121555291712,-0.2983127095315272,-0.970921495999848
2.0,2001.0,4,62000000.0,125.0,2545.0,15749959.0,126.0,16.43,192,0.0,-0.5282050723030433,0.7854294431913553,-0.3313394752371864,-0.48950324834056474,1.9723216271089898,-0.6023285774344194,-0.7048786745319405
3.0,2014.0,4,110000000.0,102.0,3490.0,106580051.0,233.0,45.44,192,0.0,-0.5522534808829397,0.7614654910680746,-0.5260128746912269,0.4254896298251054,-0.24547142214704987,0.14026079403060956,0.8265569029898255
9.0,2007.0,4,55000000.0,122.0,3006.0,53606916.0,265.0,87.18,192,0.0,-0.5420059692672986,0.5701882279150131,-0.6271589268179943,0.5627423275544446,1.5733067224426496,-0.07632166992194919,0.7917617182814868
3.0,2002.0,4,17000000.0,96.0,2399.0,37950822.0,170.0,41.72,103,0.0,-0.5498202352834642,-0.6056213974026391,-0.8094958005547184,-0.6454271485535504,-0.5155494987650829,-0.5585738407022172,-0.8565475844007433
4.0,2013.0,3,40000000.0,128.0,3405.0,95020213.0,233.0,77.74,192,0.0,-0.5258028520016786,-0.16356070657197044,-0.14859134379496894,-0.07348700234338881,-0.2820705315183874,3.0079790034438307,0.3397504098244535
6.0,2017.0,3,5300000.0,89.0,2471.0,44307193.0,182.0,52.87,192,0.0,-0.3030620496269008,-0.18681355891885068,2.539821423810101,-0.6413848451835993,-0.5251020036905054,-0.3508830453449731,-0.6715438058803647
8.0,2019.0,3,12000000.0,90.0,2883.0,22260900.0,105.0,43.84,191,1.0,0.1766498352604526,0.08061942467220659,1.710429283273076,0.10959243581930711,-0.7287513189535294,-0.0757025754375446,1.0029257222086105
12.0,2013.0,3,175000000.0,128.0,2690.0,38362475.0,110.0,18.29,192,0.0,-0.25310843243645614,0.7444625110524552,-0.42984345742204305,0.45119315950665495,-0.3801241266481209,-0.002153595589708695,0.9592652082584817
2.0,2004.0,3,75000000.0,99.0,3612.0,120908074.0,213.0,45.54,192,0.0,-0.5629478225793557,-0.9816697931184146,-0.8872811281224954,-0.11849775921753097,-0.4658054253585106,-0.4008286939777675,0.5532758296696895
9.0,2011.0,4,8000000.0,100.0,2479.0,35016118.0,240.0,89.33,192,0.0,-0.5629478225793557,-0.9816697931184146,-0.8872811281224954,-0.11849775921753097,-0.4658054253585106,-0.4008286939777675,0.5532758296696895
7.0,2009.0,3,7500000.0,95.0,1048.0,32391374.0,36.0,76.0,192,0.0,-0.5629478225793557,-0.9816697931184146,-0.8872811281224954,-0.11849775921753097,-0.4658054253585106,-0.4008286939777675,0.5532758296696895
3.0,2023.0,3,45000000.0,93.0,3405.0,32062904.0,155.0,36.7,192,0.0,0.0261148882370423,1.7676927302828955,0.061988298767680174,0.5119407489062046,-0.2907213920689892,-0.17914334782738864,1.6245026388136397
11.0,2002.0,4,41000000.0,110.0,2585.0,116750901.0,249.0,75.31,192,0.0,-0.39242186973622933,-0.6369579875512763,-0.17650778502545064,0.2281464532104557,-0.41411489720236233,0.12818638999382523,0.6727781183160519
2.0,2023.0,3,28000000.0,98.0,3939.0,39448525.0,170.0,56.76,192,0.0,-0.5226510307504638,-0.575981654168283,-0.6706121064106684,-0.6227003070772421,-0.22603770560025177,1.1684478879412716,0.3139395146906917
4.0,2008.0,4,30000000.0,111.0,2168.0,17213467.0,12.0,56.0,192,0.0,-0.3622589020107852,-0.6356160053794252,1.1904109494471804,0.050231560340991056,1.794847061955327,-0.25793707812536826,0.8911896794296515
9.0,2009.0,3,30000000.0,79.0,2060.0,31749894.0,216.0,57.43,192,0.0,1.347382607484602,1.5703530421515577,0.3389231608013639,0.7269607132931489,-0.1459724196529321,-0.32387886068062915,1.7441955777386675
9.0,2015.0,3,5000000.0,121.0,899.0,4842699.0,32.0,26.56,192,0.0,-0.4540905814308443,-0.445083693423055,-0.06980853221699171,0.19125733898554834,-0.40263591933435294,0.2722274797103332,0.6030723421225733
11.0,2017.0,4,28000000.0,104.0,3615.0,72110659.0,159.0,33.89,192,0.0,-0.41916672114246734,-0.3765481381239736,-0.495821162146592,-0.6282824217962154,-0.3094137597631234,-0.14121673562244771,-1.1217757125549845
12.0,2019.0,2,45000000.0,108.0,3235.0,61696436.0,430.0,93.26,192,0.0,-0.4354461296895735,-0.3401755862434365,-0.05158572709866951,0.44786027227365727,-0.3157025122746867,1.8560595266045612,0.3138585966492101
12.0,2001.0,3,78000000.0,135.0,2250.0,170742341.0,247.0,73.73,192,0.0,-0.33273899856103384,-0.4861362950240061,0.5879477251818617,0.4022876110130066,-0.24279042066981693,1.6550401249011075,0.4085634568004965
6.0,2011.0,3,10000000.0,98.0,216.0,1759252.0,137.0,81.18,192,0.0,-0.5847440955718413,-0.6741569527017205,-0.3834831706251182,0.1741126122282133,-0.6087716583363125,-0.14512962536943633,0.8683004702768145
11.0,2009.0,2,200000000.0,96.0,3683.0,137855863.0,32.0,55.0,233,0.0,2.898902664552081,-0.8104727308413695,-0.2170211708731609,0.2235629200080247,0.035256279865368084,0.06338541374370617,0.953315084741778
7.0,2004.0,2,19000000.0,95.0,2625.0,51438175.0,132.0,14.18,192,0.0,0.8645624151476314,-0.9636785767991848,-0.6177719830584765,-0.7140063908785104,-0.1848912078944943,-0.28339724668679794,-0.67032411426927
2.0,2017.0,4,40000000.0,146.0,2704.0,8106986.0,50.0,82.0,192,0.0,-0.005991637383239665,-0.18843035291219493,2.6003274677083223,-0.23705874710915684,-0.8320887792220355,-0.26735648367547293,1.0435398536448026
11.0,2011.0,4,20000000.0,99.0,365.0,5704709.0,232.0,78.47,42,0.0,-0.5943308291154422,-0.451976858571595,0.29269221444401444,0.4869982551343112,-0.16452877969682778,1.134686553621899,0.8451295462713588
5.0,2019.0,2,16000000.0,109.0,3279.0,22782371.0,101.0,50.57,60,1.0,1.876779993751005,-0.630136022725651,-0.39778661563766077,0.034246485302629845,-0.24414539705175992,0.0657065369766283,0.9663304510854063
1.0,2017.0,2,22000000.0,100.0,3178.0,64508620.0,180.0,35.6,221,0.0,1.876779993751005,-0.630136022725651,-0.39778661563766077,0.034246485302629845,-0.24414539705175992,0.0657065369766283,0.9663304510854063
1.0,2019.0,2,18000000.0,96.0,3090.0,42004346.0,94.0,57.66,61,0.0,1.5558386723120359,-0.3056202022933375,0.009841924590532437,0.3011533270668246,-0.2524589255284908,0.4638199952052778,1.1486467864238754
7.0,2017.0,4,100000.0,92.0,329.0,1596371.0,331.0,90.03,192,0.0,-0.18289191599681803,-0.8371206414979095,0.3522196989245968,0.15424348064911217,-0.6705122712325138,-0.48856341669320824,1.0957136356967572
2.0,2013.0,4,92000000.0,98.0,3555.0,67349198.0,272.0,16.96,192,0.0,-0.5673570788719199,1.2547858737343573,0.20972503282736035,-0.04515704989292494,0.06209397602619625,-0.3215002205967324,-0.3172236896126998
11.0,2006.0,3,35000000.0,118.0,2067.0,7459300.0,170.0,30.08,102,0.0,-0.5629478225793557,-0.9816697931184146,-0.8872811281224954,-0.11849775921753097,-0.4658054253585106,-0.4008286939777675,0.5532758296696895
1.0,2003.0,3,20000000.0,101.0,2520.0,15545431.0,133.0,25.44,192,0.0,-0.5498202352834642,-0.6056213974026391,-0.8094958005547184,-0.6454271485535504,-0.5155494987650829,-0.5585738407022172,-0.8565475844007433
1.0,2013.0,4,2500000.0,86.0,2160.0,40041683.0,68.0,12.35,192,0.0,-0.05659667403159973,-0.48264065752110186,0.8347068513505667,-0.9190017353051322,-0.9470100383984632,-0.2439612339672767,-1.214607822838028
4.0,2014.0,4,4000000.0,87.0,2310.0,17329487.0,55.0,10.62,192,0.0,-0.05659667403159973,-0.48264065752110186,0.8347068513505667,-0.9190017353051322,-0.9470100383984632,-0.2439612339672767,-1.214607822838028
9.0,2005.0,4,32000000.0,96.0,1348.0,31504633.0,254.0,87.13,192,0.0,-0.5631289325914203,0.716893887892274,0.09467315469241379,0.33003651244119886,1.8790994675377604,-0.18888436210163842,1.0199693801456173
4.0,2016.0,4,35000000.0,98.0,523.0,4212494.0,185.0,67.73,192,0.0,-0.5629478225793557,-0.9816697931184146,-0.8872811281224954,-0.11849775921753097,-0.4658054253585106,-0.4008286939777675,0.5532758296696895
7.0,2004.0,4,6500000.0,97.0,65.0,1029872.0,151.0,52.03,192,0.0,-0.5847440955718413,-0.6741569527017205,-0.3834831706251182,0.1741126122282133,-0.6087716583363125,-0.14512962536943633,0.8683004702768145
5.0,2001.0,3,65000000.0,132.0,2980.0,56569702.0,189.0,58.43,192,0.0,-0.07423280441626062,1.4059612980314478,-0.8739755462202944,0.0598907441379875,-0.681832531620308,-0.5184255362940846,0.0413125912434626
4.0,2005.0,3,30000000.0,107.0,2502.0,21845719.0,155.0,42.4,192,0.0,-0.5629478225793557,-0.9816697931184146,-0.8872811281224954,-0.11849775921753097,-0.4658054253585106,-0.4008286939777675,0.5532758296696895
3.0,2019.0,3,20000000.0,109.0,2442.0,73257045.0,11.0,39.0,192,1.0,-0.43229430843835875,-0.7525965338397491,-0.5736064897143689,-0.10135303246019595,-0.2596696863565511,0.016528411102002028,0.2880477015154483
4.0,2003.0,4,36000000.0,109.0,2495.0,26736098.0,163.0,15.91,192,0.0,-0.5631289325914203,0.716893887892274,0.09467315469241379,0.33003651244119886,1.8790994675377604,-0.18888436210163842,1.0199693801456173
6.0,2007.0,4,16000000.0,108.0,1355.0,9176787.0,230.0,78.17,192,0.0,-0.23682654808471865,-0.39921446283004314,0.8062883993961623,3.8429506092795576,0.025863411725559383,1.1659172697684532,-1.2583032006858095
4.0,2003.0,3,6000000.0,92.0,770.0,17781006.0,213.0,85.87,192,0.0,-0.35749800944785237,-0.568422432252195,-0.6025204149550508,-0.591393307571308,-0.3208927376311328,-0.28525782533895566,-1.0520699363615058
5.0,2014.0,4,40000000.0,116.0,3160.0,43139300.0,255.0,34.85,192,0.0,-0.4262749431032174,-0.40598181115072757,-0.5597006637061899,-0.3392938970649807,-0.25789703327841557,-0.3326699113456506,-1.0839405529512074
12.0,2016.0,3,43000000.0,108.0,1523.0,3740823.0,304.0,84.68,169,0.0,1.9184087194229036,-0.4117127216904656,1.3403699380876914,0.010434013557907707,-0.8900552041638304,0.36107549686044865,1.0558146761408325
12.0,2014.0,4,20000000.0,125.0,818.0,5749134.0,278.0,88.26,192,0.0,-0.5631289325914203,0.716893887892274,0.09467315469241379,0.33003651244119886,1.8790994675377604,-0.18888436210163842,1.0199693801456173
